#step x1 x2 R-factor
0 0.0 0.0 170.0
1 0.375 0.375 151.96923828125
2 0.0625 0.9375 137.88186645507812
3 0.65625 1.46875 100.34764289855957
4 0.328125 2.859375 66.79089844226837
5 0.328125 2.859375 66.79089844226837
6 0.328125 2.859375 66.79089844226837
7 0.703125 2.984375 63.37916672229767
8 0.703125 2.984375 63.37916672229767
9 1.265625 2.671875 47.2160941362381
10 1.265625 2.671875 47.2160941362381
11 2.578125 2.609375 8.73876678943634
12 2.984375 1.828125 0.5241423845291138
13 2.984375 1.828125 0.5241423845291138
14 2.984375 1.828125 0.5241423845291138
15 2.984375 1.828125 0.5241423845291138
16 2.94873046875 2.12744140625 0.2568986185007134
17 3.0633544921875 2.0416259765625 0.2349117480549734
18 2.995208740234375 1.956329345703125 0.03677102422308297
19 2.995208740234375 1.956329345703125 0.03677102422308297
20 2.995208740234375 1.956329345703125 0.03677102422308297
21 3.0002379417419434 2.027111530303955 0.012787027084164914
22 3.01272714138031 2.0087090730667114 0.009534319112313113
23 3.000845640897751 1.9871198236942291 0.0026121034259392385
24 3.000845640897751 1.9871198236942291 0.0026121034259392385
25 2.9969047848135233 1.9953700732439756 0.001004130687907469
26 3.001193689648062 2.0018789689056575 0.00015768541767672696
27 3.001193689648062 2.0018789689056575 0.00015768541767672696
28 2.9982885736681055 1.9992489962896798 0.00014359626321872038
29 3.000536179788469 1.9986575390139478 2.6862159579542836e-05
30 3.0003030331881746 2.0004161182787357 8.864347085548037e-06
31 3.0003030331881746 2.0004161182787357 8.864347085548037e-06
32 2.9998868482832677 1.9994648705571763 6.551596916632783e-06
33 2.9998743212093473 2.00058197211996 4.8808325577848635e-06
34 3.000091808967241 2.000219769808652 1.5365914308221614e-06
35 2.999934956685781 1.999932870760741 3.204603895171303e-07
36 2.999934956685781 1.999932870760741 3.204603895171303e-07
37 3.000050372063839 2.000048976186277 1.8400268954319738e-07
38 2.9999475397446687 2.000074638026731 1.1822191743248256e-07
39 2.9999669562950175 1.9999973389336225 4.2278370361994904e-08
